index,Book Name,Book_average_rating,Book_ratings_count,Publishing Year,genre,gross sales,sale price,sales rank,Publisher,units sold
0,Beowulf,3.42,155903,1975,fiction,34160,4.88,1,HarperCollins Publishers,7000
1,Batman: Year One,4.23,145267,1987,fiction,12437.5,1.99,2,HarperCollins Publishers,6250
2,Go Set a Watchman,3.31,138669,2015,fiction,47795,8.69,3,"Amazon Digital Services,  Inc.",5500
3,When You Are Engulfed in Flames,4.04,150898,2008,fiction,41250,7.5,3,Hachette Book Group,5500
4,Daughter of Smoke & Bone,4.04,198283,2011,fiction,37952.5,7.99,4,Penguin Group (USA) LLC,4750
5,Red Queen,4.08,83354,2015,fiction,19960,4.99,5,"Amazon Digital Services,  Inc.",4000
6,The Power of Habit,4.03,155977,2011,fiction,27491.67,6.99,6,HarperCollins Publishers,3933
7,Midnight in the Garden of Good and Evil,3.9,167997,1994,nonfiction,26182,6.89,8,Hachette Book Group,3800
8,Hopeless,4.34,189938,2012,fiction,26093.67,6.99,9,HarperCollins Publishers,3733
9,A Little Princess,4.2,199872,1905,fiction,23792.34,6.49,10,Random House LLC,3666
10,The Truth About Forever,4.13,179415,2004,fiction,17964,4.99,11,"Amazon Digital Services,  Inc.",3600
11,The horse and his boy,3.9,189671,1954,fiction,21564,5.99,11,Penguin Group (USA) LLC,3600
12,Last Sacrifice,4.42,206792,2010,fiction,3431.34,0.99,13,"Amazon Digital Services,  Inc.",3466
13,Little House on the Prairie,4.18,195424,1935,fiction,6897.34,1.99,13,HarperCollins Publishers,3466
14,The Velveteen Rabbit,4.29,173469,1922,fiction,21797.82,6.54,15,Random House LLC,3333
15,Zen and the Art of Motorcycle Maintenance,3.76,139411,1974,fiction,16297.34,4.99,16,"Amazon Digital Services,  Inc.",3266
16,The War of the Worlds,3.8,159752,1897,fiction,15968,4.99,17,"Amazon Digital Services,  Inc.",3200
17,Pretty Little Liars,3.9,156328,2006,fiction,15968,4.99,17,"Amazon Digital Services,  Inc.",3200
18,Corduroy,4.28,160860,1948,fiction,6234.67,1.99,18,Simon and Schuster Digital Sales Inc,3133
19,The Omnivore's Dilemma,4.17,133271,2006,fiction,3035.34,0.99,19,"Amazon Digital Services,  Inc.",3066
20,Life After Life,3.74,138454,2013,fiction,11702.67,3.99,21,"Amazon Digital Services,  Inc.",2933
21,The Rescue,4.1,142092,2000,fiction,8569.34,2.99,22,"Amazon Digital Services,  Inc.",2866
22,Needful Things,3.87,153821,1991,fiction,2772,0.99,23,"Amazon Digital Services,  Inc.",2800
23,Voyager,4.38,157395,1993,fiction,8171.67,2.99,24,"Amazon Digital Services,  Inc.",2733
24,,4.12,156869,1996,fiction,2639.34,0.99,25,"Amazon Digital Services,  Inc.",2666
25,Cujo,3.65,158215,1981,fiction,7774,2.99,26,"Amazon Digital Services,  Inc.",2600
26,The Virgin Suicides,3.83,159249,1993,fiction,26904.06,10.91,28,Penguin Group (USA) LLC,2466
27,Dead to the World,4.13,199572,2004,fiction,2376,0.99,29,"Amazon Digital Services,  Inc.",2400
28,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,3.77,171599,1891,nonfiction,9576,3.99,29,Hachette Book Group,2400
29,Madame Bovary,3.64,158877,1856,fiction,9308.67,3.99,30,"Amazon Digital Services,  Inc.",2333
30,The Phantom Tollbooth,4.22,178432,1961,fiction,4509.34,1.99,31,"Amazon Digital Services,  Inc.",2266
31,The Way of Kings,4.64,144822,2010,fiction,2178,0.99,32,"Amazon Digital Services,  Inc.",2200
32,Club Dead,4.03,181323,2003,fiction,13178,5.99,32,HarperCollins Publishers,2200
33,It's Kind of a Funny Story,4.14,161001,2006,nonfiction,2045.34,0.99,34,HarperCollins Publishers,2066
34,,4.35,150736,2007,fiction,17980,8.99,35,Random House LLC,2000
35,After You,3.7,99342,2015,fiction,1964.16,0.99,36,"Amazon Digital Services,  Inc.",1984
36,The Language of Flowers,4.07,140076,2011,fiction,1964.16,0.99,36,"Amazon Digital Services,  Inc.",1984
37,Batman: The Dark Knight Returns,4.25,135979,1986,fiction,1949.31,0.99,37,"Amazon Digital Services,  Inc.",1969
38,The Angel Experiment,4.08,172302,2005,fiction,1949.31,0.99,37,"Amazon Digital Services,  Inc.",1969
39,High Fidelity,3.94,134849,1995,fiction,20309.55,10.65,41,Random House LLC,1907
40,The Guardian,4.14,136427,2003,fiction,1873.08,0.99,42,"Amazon Digital Services,  Inc.",1892
41,Oryx and Crake,4,151500,2003,fiction,7485.24,3.99,43,"Amazon Digital Services,  Inc.",1876
42,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",3.52,113915,1998,fiction,3703.39,1.99,44,"Amazon Digital Services,  Inc.",1861
43,Kitchen Confidential: Adventures in the Culinary Underbelly,4,134177,2000,fiction,11057.54,5.99,45,HarperCollins Publishers,1846
44,Timeline,3.83,148563,1999,fiction,12791.7,6.99,46,"Amazon Digital Services,  Inc.",1830
45,Candide,3.76,151471,1759,fiction,8982,4.99,48,"Amazon Digital Services,  Inc.",1800
46,Tuck Everlasting,3.85,174280,1975,nonfiction,3582,1.99,48,"Amazon Digital Services,  Inc.",1800
47,Christine,3.72,151160,1983,nonfiction,1766.16,0.99,49,"Amazon Digital Services,  Inc.",1784
48,Are You My Mother?,4.16,174204,1960,fiction,10596.31,5.99,50,Penguin Group (USA) LLC,1769
49,The Story of Art,3.83,164708,1950,fiction,15058.27,8.59,51,Hachette Book Group,1753
50,Scarlet,4.3,193766,2013,fiction,1720.62,0.99,52,"Amazon Digital Services,  Inc.",1738
51,"Rich Dad , Poor Dad",3.95,153764,1997,fiction,1705.77,0.99,53,Random House LLC,1723
52,Silence,4.16,190722,2011,fiction,8517.93,4.99,54,"Amazon Digital Services,  Inc.",1707
53,The Magicians,3.47,147908,2009,fiction,1675.08,0.99,55,Macmillan,1692
55,A Great and Terrible Beauty,3.79,173613,2003,fiction,4966.39,2.99,57,Penguin Group (USA) LLC,1661
56,Everything Is Illuminated,3.9,131492,2002,fiction,1629.54,0.99,58,"Amazon Digital Services,  Inc.",1646
57,The Bourne Supremacy,4.09,142168,1986,fiction,17783.3,10.91,59,Penguin Group (USA) LLC,1630
58,Easy,4.11,133937,2012,fiction,1613.7,0.99,59,"Amazon Digital Services,  Inc.",1630
59,David Copperfield,3.96,150512,1849,fiction,18394.85,11.39,60,Hachette Book Group,1615
60,The Absolutely True Diary of a Part-Time Indian,4.11,160607,2007,fiction,10384,6.49,61,Random House LLC,1600
62,A Wizard of Earthsea,3.99,155042,1968,fiction,4707,3,63,"Amazon Digital Services,  Inc.",1569
63,Because of Winn-Dixie,4,154476,2000,fiction,1522.62,0.99,65,"Amazon Digital Services,  Inc.",1538
64,A Separate Peace,3.56,155901,1959,fiction,5924.47,3.89,66,"Amazon Digital Services,  Inc.",1523
